Timestamp,Gender,Privacy ,Insta_followers,Insta_post
10/26/2023 18:25:10,Male,Private,429,1
10/26/2023 18:25:54,Male,Private,194,0
10/26/2023 18:34:10,Female,Private,417,0
10/26/2023 18:34:20,Female,Public,456,0
10/26/2023 18:34:32,Female,Private,574,6
10/26/2023 18:37:07,Female,Public,177,0
10/26/2023 18:38:49,Female,Private,126,8
10/26/2023 18:42:54,Female,Private,200,0
10/26/2023 18:47:27,Female,Public,306,5
10/26/2023 18:49:52,Female,Private,361,0
10/26/2023 18:51:41,Male,Public,537,0
10/26/2023 19:14:02,Female,Private,1134,16
10/26/2023 19:17:37,Female,Private,407,0
10/26/2023 19:27:01,Male,Private,136,8
10/26/2023 19:32:44,Female,Private,178,2
10/26/2023 19:41:20,Female,Public,789,0
10/26/2023 19:43:05,Female,Private,409,11
10/26/2023 19:46:13,Male,Public,45,30
10/26/2023 19:51:11,Male,Private,13,0
10/26/2023 20:05:51,Female,Private,177,1
10/26/2023 20:25:41,Female,Private,401,0
10/26/2023 20:33:08,Female,Private,430,0
10/26/2023 20:39:31,Female,Private,294,3
10/26/2023 21:51:44,Female,Public,454,1
10/26/2023 22:04:22,Female,Private,370,0
10/26/2023 23:13:00,Female,Private,253,2
10/30/2023 11:15:19,Female,Public,941,0
10/30/2023 11:20:52,Male,Public,347,0
10/30/2023 11:21:35,Female,Private,136,0
10/30/2023 11:21:47,Female,Private,155,0
10/30/2023 11:21:55,Male,Private,84,0
10/30/2023 11:21:57,Male,Public,554,3
10/30/2023 11:22:15,Female,Private,388,0
10/30/2023 11:22:22,Male,Private,232,0
10/30/2023 11:23:01,Female,Private,490,3
10/30/2023 11:23:06,Female,Public,458,0
10/30/2023 11:23:11,Female,Public,135,0
10/30/2023 11:25:06,Female,Public,161,27
10/30/2023 11:28:07,Female,Private,53,56
10/30/2023 11:28:14,Female,Public,238,0
10/30/2023 11:28:56,Female,Public,420,0
10/30/2023 11:30:48,Male,Private,278,0
10/30/2023 11:31:13,Female,Public,283,3
10/30/2023 11:32:10,Female,Public,760,1
10/30/2023 11:34:21,Female,Public,335,6
10/30/2023 11:34:38,Female,Private,208,2
10/30/2023 11:34:53,Female,Public,323,1
10/30/2023 11:36:15,Female,Public,479,0
10/30/2023 11:44:03,Male,Private,453,1
10/30/2023 11:44:18,Male,Public,293,0
10/30/2023 11:44:50,Male,Private,160,0
10/30/2023 11:46:57,Female,Public,1395,5
10/30/2023 11:47:04,Male,Private,240,38
10/30/2023 11:49:54,Male,Public,362,0
10/30/2023 11:50:48,Female,Private,783,0
10/30/2023 11:51:18,Male,Private,200,2
10/30/2023 11:52:19,Female,Private,577,6
10/30/2023 11:58:31,Female,Private,175,82
10/30/2023 12:01:58,Male,Private,211,0
10/30/2023 12:06:54,Female,Private,561,23
10/30/2023 12:07:12,Female,Private,101,7
10/30/2023 12:07:56,Male,Private,241,305
10/30/2023 12:08:50,Male,Public,372,4
10/30/2023 12:10:58,Female,Private,298,1
10/30/2023 12:11:19,Male,Public,78,0
10/30/2023 12:20:53,Female,Public,455,25
10/30/2023 12:21:15,Female,Private,317,0
10/30/2023 12:21:39,Female,Private,337,15
10/30/2023 12:21:44,Female,Public,920,1
10/30/2023 12:34:58,Female,Private,339,0
10/30/2023 12:43:07,Male,Public,1100,1
10/30/2023 12:50:43,Female,Private,270,16
10/30/2023 12:52:04,Female,Private,887,0
10/30/2023 12:58:27,Male,Public,519,6
10/30/2023 13:02:43,Female,Public,519,10
10/30/2023 13:16:56,Female,Public,398,0
